Category,Crop,QueryType,StateName,DistrictName,BlockName,Hour of the day,Month
Vegetables,Cabbage,187,WEST BENGAL,JALPAIGURI,DHUPGURI,7,11
Fiber Crops,0,187,TELANGANA,KHAMMAM,TIRUMALAYAPALEM,7,11
Others,Others,Weather,GUJARAT,AHMADABAD,AHMADABAD CITY,6,11
Others,Others,Weather,TELANGANA,KHAMMAM,KUSUMANCHI,6,11
0,0,Weather,WEST BENGAL,NADIA,HANSKHALI,21,11
Others,Others,Weather,WEST BENGAL,NADIA,RANAGHAT-I,20,11
Cereals,Wheat,187,UTTARAKHAND,HARIDWAR,ROORKEE,20,11
Others,Others,Weather,RAJASTHAN,AJMER,KEKRI,20,11
Cereals,Wheat,187,RAJASTHAN,AJMER,BHINAY,20,11
Others,Others,Weather,RAJASTHAN,AJMER,ARAIN,20,11
Others,Others,Weather,RAJASTHAN,AJMER,ARAIN,20,11
Others,Others,Weather,RAJASTHAN,AJMER,PISANGAN,19,11
Others,Others,Weather,RAJASTHAN,AJMER,BHINAY,19,11
Others,Others,Weather,RAJASTHAN,AJMER,KEKRI,19,11
Oilseeds,Rocket salad (taramira),187,RAJASTHAN,AJMER,KEKRI,19,11
Others,Others,Weather,RAJASTHAN,AJMER,KEKRI,19,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,SINGARENI,19,11
Sugar and Starch Crops,Sugarcane (Noble Cane),187,UTTARAKHAND,HARIDWAR,BHAGWANPUR,19,11
Fruits,0,187,WEST BENGAL,NADIA,KRISHNAGANJ,19,11
Vegetables,Potato,187,WEST BENGAL,NADIA,CHAPRA,19,11
Millets,Maize (Makka),187,GUJARAT,AHMADABAD,BAVLA,19,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,SINGARENI,19,11
Vegetables,Bitter Gourd,187,UTTARAKHAND,HARIDWAR,KHANPUR,19,11
Others,Others,Weather,RAJASTHAN,AJMER,0,18,11
Vegetables,Onion,Market Information,WEST BENGAL,NADIA,HANSKHALI,18,11
Others,Others,Weather,TELANGANA,KHAMMAM,KAMEPALLY,18,11
Others,0,Weather,TELANGANA,KHAMMAM,KHAMMAM (URBAN),18,11
Drug and Narcotics,Tobacco,187,GUJARAT,ANAND,KHAMBHAT,18,11
Others,Others,Weather,RAJASTHAN,AJMER,0,18,11
Vegetables,Pumpkin,187,WEST BENGAL,NADIA,KARIMPUR-II,18,11
Others,0,Market Information,RAJASTHAN,AJMER,SRINAGAR,18,11
Vegetables,Potato,187,CHHATTISGARH,RAIGARH,SARANGARH,18,11
Condiments and Spices,Cumin,187,GUJARAT,AHMADABAD,DETROJ RAMPURA,17,11
Others,Others,Weather,RAJASTHAN,AJMER,KISHANGARH,17,11
Fruits,Lemon,187,GUJARAT,ANAND,TARAPUR,17,11
Others,Others,Weather,RAJASTHAN,AJMER,SRINAGAR,17,11
Vegetables,Chillies,187,WEST BENGAL,JALPAIGURI,DHUPGURI,17,11
Vegetables,Pea (Vegetable),187,UTTAR PRADESH,MORADABAD,DILARI,17,11
Others,Others,Weather,RAJASTHAN,AJMER,0,17,11
Others,Others,Weather,RAJASTHAN,AJMER,0,17,11
Others,Others,Weather,RAJASTHAN,AJMER,0,17,11
Oilseeds,"Castor (Rehri, Rendi, Arandi) ",187,GUJARAT,AHMADABAD,DASKROI,17,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,KHAMMAM (RURAL),17,11
Millets,Maize (Makka),187,TELANGANA,KHAMMAM,DUMMUGUDEM,17,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,KHAMMAM (RURAL),17,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,KHAMMAM (RURAL),17,11
Condiments and Spices,Garlic,187,WEST BENGAL,NADIA,KARIMPUR-II,16,11
Others,Others,Weather,TELANGANA,KHAMMAM,TEKULAPALLY,16,11
Others,Others,Weather,RAJASTHAN,AJMER,0,16,11
Others,Others,Weather,TELANGANA,KHAMMAM,YERRUPALEM,16,11
Others,Others,Weather,RAJASTHAN,AJMER,0,16,11
Vegetables,Chillies,187,RAJASTHAN,AJMER,MASOODA,16,11
Medicinal and Aromatic Plants,Satawar,187,UTTAR PRADESH,MORADABAD,THAKURDWARA,16,11
Cereals,Paddy (Dhan),187,CHHATTISGARH,RAIGARH,PUSSORE,16,11
Others,Others,Weather,RAJASTHAN,AJMER,0,16,11
Vegetables,Cauliflower,187,RAJASTHAN,AJMER,JAWAJA,16,11
Others,Others,Weather,RAJASTHAN,AJMER,0,16,11
Medicinal and Aromatic Plants,Satawar,187,UTTAR PRADESH,MORADABAD,THAKURDWARA,16,11
Others,Others,Weather,UTTARAKHAND,HARIDWAR,ROORKEE,16,11
Vegetables,Cauliflower,187,RAJASTHAN,AJMER,JAWAJA,16,11
Medicinal and Aromatic Plants,Satawar,187,UTTAR PRADESH,MORADABAD,THAKURDWARA,16,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,KAMEPALLY,15,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,ENKOOR,15,11
Millets,Maize (Makka),187,TELANGANA,KHAMMAM,DUMMUGUDEM,15,11
Cereals,Wheat,187,CHHATTISGARH,RAIGARH,KHARSIA,15,11
Others,Others,Weather,RAJASTHAN,AJMER,BHINAY,14,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,CHANDRUGONDA,14,11
Others,Others,Weather,TELANGANA,KHAMMAM,KAMEPALLY,14,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,CHANDRUGONDA,14,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,CHANDRUGONDA,14,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,KAMEPALLY,14,11
Pulses,0,187,TELANGANA,KHAMMAM,MUDIGONDA,14,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,KAMEPALLY,14,11
Cereals,Paddy (Dhan),187,TELANGANA,KHAMMAM,BHADRACHALAM,14,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,SINGARENI,14,11
Others,Others,Weather,UTTAR PRADESH,MORADABAD,MORADABAD,14,11
Vegetables,Bhindi(Okra/Ladysfinger),187,TELANGANA,KHAMMAM,BONAKAL,14,11
Vegetables,Bitter Gourd,187,TELANGANA,KHAMMAM,TEKULAPALLY,14,11
Others,Others,Weather,TELANGANA,KHAMMAM,THALLADA,14,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,JULURUPADU,14,11
Others,Others,Weather,RAJASTHAN,AJMER,MASOODA,14,11
Plantation Crops,Coconut,187,WEST BENGAL,NADIA,NAKASHIPARA,13,11
Others,Others,Weather,RAJASTHAN,AJMER,MASOODA,13,11
Others,Others,Weather,RAJASTHAN,AJMER,MASOODA,13,11
Others,Others,Weather,UTTARAKHAND,HARIDWAR,ROORKEE,13,11
Vegetables,Potato,187,WEST BENGAL,NADIA,KALIGANJ,13,11
Cereals,Wheat,187,UTTAR PRADESH,MORADABAD,DILARI,13,11
Others,Others,Weather,GUJARAT,AHMADABAD,0,13,11
Condiments and Spices,Cumin,187,RAJASTHAN,AJMER,BHINAY,13,11
Others,Others,Weather,GUJARAT,AHMADABAD,0,13,11
Millets,Maize (Makka),187,TELANGANA,KHAMMAM,CHINTHAKANI,13,11
Others,Others,Weather,RAJASTHAN,AJMER,KISHANGARH,13,11
Others,Others,Weather,RAJASTHAN,AJMER,KISHANGARH,12,11
Oilseeds,0,187,GUJARAT,AHMADABAD,AHMADABAD CITY,12,11
Others,Others,Weather,TELANGANA,KHAMMAM,YERRUPALEM,12,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,BONAKAL,12,11
Others,Others,Weather,GUJARAT,AHMADABAD,AHMADABAD CITY,12,11
Fiber Crops,Cotton (Kapas),187,TELANGANA,KHAMMAM,KHAMMAM (URBAN),11,11
Others,Others,Weather,RAJASTHAN,AJMER,KEKRI,11,11
Fodder Crops,fodder sorghum,187,GUJARAT,AHMADABAD,DHOLKA,11,11
Vegetables,Brinjal,187,CHHATTISGARH,RAIGARH,RAIGARH,11,11
Fruits,Litchi,187,WEST BENGAL,NADIA,KALIGANJ,11,11
Vegetables,Brinjal,187,CHHATTISGARH,RAIGARH,RAIGARH,11,11
Cereals,Paddy (Dhan),187,CHHATTISGARH,MAHASAMUND,BAGBAHARA,11,11
Others,Others,Weather,TELANGANA,KHAMMAM,TEKULAPALLY,11,11
Cereals,Wheat,187,RAJASTHAN,AJMER,MASOODA,11,11
Cereals,Paddy (Dhan),187,WEST BENGAL,NADIA,RANAGHAT-II,10,11
Others,Others,Weather,GUJARAT,AHMADABAD,RANPUR,10,11
Fiber Crops,Cotton (Kapas),187,GUJARAT,AHMADABAD,RANPUR,10,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,CHINTHAKANI,10,11
0,0,Weather,RAJASTHAN,AJMER,KEKRI,10,11
Others,Others,Weather,RAJASTHAN,AJMER,BHINAY,10,11
Medicinal and Aromatic Plants,Aloe Vera,187,UTTARAKHAND,HARIDWAR,LAKSAR,10,11
Others,Others,Weather,WEST BENGAL,JALPAIGURI,MAYNAGURI,10,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,PENUBALLY,10,11
Vegetables,Onion,187,WEST BENGAL,NADIA,NAKASHIPARA,9,11
Oilseeds,Mustard,187,UTTAR PRADESH,MORADABAD,BANIYAKHERA,9,11
Others,Others,Weather,UTTAR PRADESH,MORADABAD,THAKURDWARA,9,11
Fiber Crops,Jute,Market Information,WEST BENGAL,NADIA,KARIMPUR-II,9,11
Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),187,GUJARAT,AHMADABAD,DHANDHUKA,9,11
Others,Others,Weather,GUJARAT,AHMADABAD,AHMADABAD CITY,9,11
Cereals,Paddy (Dhan),187,TELANGANA,KHAMMAM,MUDIGONDA,8,11
Others,Others,Weather,GUJARAT,AHMADABAD,SANAND,8,11
Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),187,GUJARAT,AHMADABAD,DHANDHUKA,8,11
Vegetables,Potato,187,WEST BENGAL,JALPAIGURI,JALPAIGURI SADAR,8,11
Vegetables,Chillies,187,GUJARAT,ANAND,UMRETH,8,11
Others,Others,Weather,GUJARAT,ANAND,TARAPUR,8,11
Pulses,Lentil (Masur),187,WEST BENGAL,NADIA,KARIMPUR-II,8,11
Others,Others,Weather,RAJASTHAN,AJMER,KEKRI,8,11
Vegetables,Brinjal,187,WEST BENGAL,JALPAIGURI,ALIPURDUAR-II,8,11
Vegetables,Brinjal,187,WEST BENGAL,NADIA,CHAPRA,8,11
Vegetables,Pumpkin,187,WEST BENGAL,NADIA,KARIMPUR-II,7,11
Others,Others,Weather,RAJASTHAN,AJMER,ARAIN,7,11
Fruits,Ber,187,WEST BENGAL,NADIA,TEHATTA-II,6,11
Others,Others,Weather,RAJASTHAN,AJMER,KEKRI,21,11
Condiments and Spices,Garlic,187,WEST BENGAL,NADIA,KARIMPUR-II,21,11
Others,Others,Weather,RAJASTHAN,AJMER,KEKRI,21,11
Others,Others,Weather,RAJASTHAN,AJMER,KISHANGARH,19,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,KONIJERLA,19,11
Oilseeds,Sesame (Gingelly/Til)/Sesamum,187,GUJARAT,AHMADABAD,VIRAMGAM,19,11
Others,Others,Weather,GUJARAT,ANAND,PETLAD,19,11
Cereals,Wheat,187,GUJARAT,ANAND,UMRETH,19,11
Others,Others,Weather,RAJASTHAN,AJMER,ARAIN,18,11
Others,Others,Weather,RAJASTHAN,AJMER,KEKRI,18,11
Vegetables,Tomato,Nutrient Management,CHHATTISGARH,RAIGARH,KHARSIA,18,11
Others,Others,Weather,RAJASTHAN,AJMER,KEKRI,18,11
Others,Others,Weather,TELANGANA,KHAMMAM,KHAMMAM (URBAN),18,11
Cereals,Paddy (Dhan),187,TELANGANA,KHAMMAM,BONAKAL,17,11
Others,Others,Weather,GUJARAT,AHMADABAD,0,17,11
Vegetables,Lab Lab,187,WEST BENGAL,NADIA,KARIMPUR-1,17,11
Sugar and Starch Crops,Sugarcane (Noble Cane),187,UTTARAKHAND,HARIDWAR,KHANPUR,17,11
Cereals,Wheat,187,GUJARAT,ANAND,KHAMBHAT,17,11
Others,Others,Weather,RAJASTHAN,AJMER,ARAIN,17,11
Others,Others,Weather,RAJASTHAN,AJMER,BHINAY,17,11
Oilseeds,Mustard,187,WEST BENGAL,NADIA,CHAKDAH,17,11
Others,Others,Weather,RAJASTHAN,AJMER,KEKRI,17,11
Others,Others,Weather,UTTAR PRADESH,MORADABAD,DILARI,17,11
Vegetables,Beans ,187,UTTAR PRADESH,MORADABAD,MORADABAD,17,11
Sugar and Starch Crops,Sugarcane (Noble Cane),187,UTTAR PRADESH,MORADABAD,BILARI,17,11
0,0,Weather,TELANGANA,KHAMMAM,KAMEPALLY,17,11
Others,Others,Weather,UTTARAKHAND,HARIDWAR,BHAGWANPUR,17,11
Condiments and Spices,Cumin,187,RAJASTHAN,AJMER,BHINAY,17,11
Condiments and Spices,Cumin,187,RAJASTHAN,AJMER,BHINAY,17,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,KONIJERLA,16,11
Others,Others,Weather,RAJASTHAN,AJMER,KEKRI,16,11
Vegetables,Cucumber,187,WEST BENGAL,NADIA,CHAPRA,16,11
Vegetables,Chillies,184,TELANGANA,KHAMMAM,MADHIRA,16,11
Animal,"Bovine(Cow,Buffalo)",187,UTTARAKHAND,HARIDWAR,ROORKEE,16,11
Millets,Maize (Makka),Market Information,TELANGANA,KHAMMAM,KONIJERLA,16,11
Cereals,Wheat,187,RAJASTHAN,AJMER,0,16,11
Others,Others,Weather,RAJASTHAN,AJMER,BHINAY,16,11
Oilseeds,Groundnut (pea nut/mung phalli),187,TELANGANA,KHAMMAM,KHAMMAM (RURAL),16,11
Condiments and Spices,Cumin,187,RAJASTHAN,AJMER,BHINAY,16,11
Vegetables,Pointed Gourd,187,WEST BENGAL,NADIA,KARIMPUR-1,15,11
Cereals,Wheat,187,UTTARAKHAND,HARIDWAR,BHAGWANPUR,15,11
Cereals,Paddy (Dhan),187,TELANGANA,KHAMMAM,CHANDRUGONDA,15,11
Vegetables,Onion,187,WEST BENGAL,NADIA,TEHATTA-I,15,11
Medicinal and Aromatic Plants,Mentha,187,UTTAR PRADESH,MORADABAD,BILARI,15,11
Vegetables,Onion,187,CHHATTISGARH,RAIGARH,DHARAMJAIGARH,14,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,MADHIRA,14,11
Others,Others,Weather,GUJARAT,AHMADABAD,DHOLKA,14,11
Fodder Crops,fodder maize ,187,GUJARAT,ANAND,BORSAD,14,11
Cereals,Paddy (Dhan),187,TELANGANA,KHAMMAM,THIRUMALAYAPALEM,14,11
Others,Others,Weather,RAJASTHAN,AJMER,SRINAGAR,14,11
Vegetables,Tomato,187,GUJARAT,ANAND,UMRETH,13,11
Others,Others,Weather,RAJASTHAN,AJMER,KISHANGARH,13,11
Others,Others,Weather,UTTAR PRADESH,MORADABAD,THAKURDWARA,13,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,KAMEPALLY,13,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,KAMEPALLY,13,11
Cereals,Paddy (Dhan),Market Information,CHHATTISGARH,RAIGARH,PUSSORE,13,11
Vegetables,Brinjal,187,WEST BENGAL,NADIA,CHAPRA,13,11
Vegetables,Potato,187,WEST BENGAL,JALPAIGURI,DHUPGURI,13,11
Sugar and Starch Crops,Sugarcane (Noble Cane),187,UTTARAKHAND,HARIDWAR,ROORKEE,13,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,BONAKAL,13,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,0,12,11
Sugar and Starch Crops,Sugarcane (Noble Cane),187,UTTARAKHAND,HARIDWAR,LAKSAR,12,11
Cereals,Wheat,187,GUJARAT,AHMADABAD,BAVLA,12,11
Cereals,Wheat,187,UTTAR PRADESH,MORADABAD,MORADABAD,12,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,KOTHAGUDEM,12,11
Others,Others,Weather,TELANGANA,KHAMMAM,TEKULAPALLY,12,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,YELLANDU,12,11
Fruits,Citrus,Weather,RAJASTHAN,AJMER,PISANGAN,12,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,SINGARENI,12,11
Others,Others,Weather,RAJASTHAN,AJMER,0,11,11
Vegetables,Chillies,184,TELANGANA,KHAMMAM,SINGARENI,11,11
Others,Others,Weather,GUJARAT,ANAND,UMRETH,11,11
Vegetables,Brinjal,187,WEST BENGAL,NADIA,CHAPRA,11,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,VENKATAPURAM,11,11
Cereals,Paddy (Dhan),187,TELANGANA,KHAMMAM,NELAKONDAPALLY,11,11
Others,Others,Weather,WEST BENGAL,NADIA,KRISHNAGAR-II,11,11
Oilseeds,"Castor (Rehri, Rendi, Arandi) ",187,GUJARAT,AHMADABAD,SANAND,11,11
Others,Others,Weather,WEST BENGAL,NADIA,CHAPRA,11,11
Fiber Crops,Cotton (Kapas),187,TELANGANA,KHAMMAM,SINGARENI,11,11
Others,Others,Weather,UTTARAKHAND,HARIDWAR,BAHADRABAD,11,11
Others,Others,Weather,RAJASTHAN,AJMER,KISHANGARH,11,11
Fruits,Lemon,187,TELANGANA,KHAMMAM,KHAMMAM (RURAL),10,11
Sugar and Starch Crops,Sugarcane (Noble Cane),187,UTTARAKHAND,HARIDWAR,NARSAN,10,11
Vegetables,Beans ,187,WEST BENGAL,NADIA,CHAPRA,10,11
Pulses,Lentil (Masur),187,UTTAR PRADESH,MORADABAD,BHAGATPUR TANDA,10,11
Cereals,Paddy (Dhan),187,TELANGANA,KHAMMAM,KALLUR,10,11
Others,Others,Weather,UTTAR PRADESH,MORADABAD,THAKURDWARA,10,11
Others,Others,Weather,RAJASTHAN,AJMER,ARAIN,10,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,KAMEPALLY,10,11
Vegetables,Onion,187,WEST BENGAL,NADIA,HANSKHALI,10,11
Condiments and Spices,Cumin,187,GUJARAT,AHMADABAD,0,9,11
Others,Others,Weather,UTTARAKHAND,HARIDWAR,ROORKEE,9,11
Others,Others,Weather,RAJASTHAN,AJMER,BHINAY,9,11
Others,Others,Weather,RAJASTHAN,AJMER,MASOODA,9,11
Others,Others,Weather,UTTARAKHAND,HARIDWAR,KHANPUR,9,11
Vegetables,Beans ,187,WEST BENGAL,JALPAIGURI,MAYNAGURI,9,11
Vegetables,Beans ,187,WEST BENGAL,JALPAIGURI,MAYNAGURI,9,11
Others,Others,Weather,RAJASTHAN,AJMER,KISHANGARH,9,11
Others,Others,Weather,RAJASTHAN,AJMER,SRINAGAR,9,11
Cereals,Paddy (Dhan),Market Information,CHHATTISGARH,MAHASAMUND,BAGBAHARA,8,11
Oilseeds,"Castor (Rehri, Rendi, Arandi) ",187,GUJARAT,AHMADABAD,VIRAMGAM,8,11
Fruits,Banana,187,WEST BENGAL,NADIA,NAKASHIPARA,8,11
Others,Others,Weather,UTTAR PRADESH,MORADABAD,THAKURDWARA,8,11
Others,Others,Weather,UTTARAKHAND,HARIDWAR,ROORKEE,8,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,GARLA,8,11
Vegetables,Pea (Vegetable),187,CHHATTISGARH,RAIGARH,SARANGARH,8,11
Vegetables,Bell Pepper,187,UTTAR PRADESH,MORADABAD,THAKURDWARA,7,11
Others,Others,Weather,UTTARAKHAND,HARIDWAR,BAHADRABAD,7,11
Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),187,CHHATTISGARH,RAIGARH,KHARSIA,7,11
Others,Others,Weather,UTTARAKHAND,HARIDWAR,BHAGWANPUR,7,11
Others,Others,Weather,TELANGANA,KHAMMAM,MADHIRA,7,11
Others,Others,Weather,UTTARAKHAND,HARIDWAR,ROORKEE,7,11
Vegetables,Brinjal,187,WEST BENGAL,NADIA,CHAPRA,6,11
Cereals,Wheat,187,UTTARAKHAND,HARIDWAR,LAKSAR,21,11
Oilseeds,Mustard,187,WEST BENGAL,NADIA,HANSKHALI,21,11
Oilseeds,Mustard,187,WEST BENGAL,JALPAIGURI,JALPAIGURI SADAR,21,11
Cereals,Wheat,Varieties,CHHATTISGARH,RAIGARH,SARANGARH,20,11
Others,Others,Weather,RAJASTHAN,AJMER,KISHANGARH,20,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,KHAMMAM (RURAL),20,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,KHAMMAM (RURAL),20,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,KHAMMAM (RURAL),20,11
Others,Others,Weather,UTTAR PRADESH,MORADABAD,SAMBHAL,19,11
Flowers,Rose,187,UTTARAKHAND,HARIDWAR,BAHADRABAD,19,11
Others,Others,Weather,RAJASTHAN,AJMER,0,19,11
Others,Others,Weather,RAJASTHAN,AJMER,0,19,11
Others,Others,Weather,RAJASTHAN,AJMER,ARAIN,19,11
Vegetables,Cucumber,187,WEST BENGAL,NADIA,CHAPRA,19,11
Others,Others,Weather,UTTAR PRADESH,MORADABAD,MUNDA PANDEY,19,11
Others,Others,Weather,UTTAR PRADESH,MORADABAD,CHHAJLET,19,11
Cereals,Wheat,187,RAJASTHAN,AJMER,ARAIN,19,11
Cereals,Barley (Jau),187,RAJASTHAN,AJMER,ARAIN,18,11
Others,Others,Weather,UTTARAKHAND,HARIDWAR,ROORKEE,18,11
Others,0,Weather,TELANGANA,KHAMMAM,KAMEPALLY,18,11
Cereals,Barley (Jau),187,RAJASTHAN,AJMER,KISHANGARH,18,11
Others,Others,Weather,UTTAR PRADESH,MORADABAD,SAMBHAL,18,11
Others,Others,Weather,RAJASTHAN,AJMER,KEKRI,17,11
Others,Others,Weather,RAJASTHAN,AJMER,ARAIN,17,11
Vegetables,Onion,Seeds and Planting Material,CHHATTISGARH,RAIGARH,LAILUNGA,17,11
Cereals,Paddy (Dhan),187,TELANGANA,KHAMMAM,KUSUMANCHI,17,11
Fruits,Ber,187,TELANGANA,KHAMMAM,VEMSOOR,17,11
Vegetables,Chillies,187,WEST BENGAL,NADIA,NAKASHIPARA,16,11
Vegetables,Brinjal,187,WEST BENGAL,NADIA,NAKASHIPARA,16,11
0,0,187,GUJARAT,AHMADABAD,DHOLKA,16,11
Sugar and Starch Crops,Sugarcane (Noble Cane),187,UTTAR PRADESH,MORADABAD,BILARI,16,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,YELLANDU,16,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,YELLANDU,16,11
Cereals,Wheat,187,UTTAR PRADESH,MORADABAD,BHAGATPUR TANDA,16,11
Others,Others,Weather,UTTAR PRADESH,MORADABAD,CHHAJLET,16,11
Condiments and Spices,Cumin,187,GUJARAT,AHMADABAD,BAVLA,16,11
Condiments and Spices,Cumin,187,GUJARAT,AHMADABAD,BAVLA,16,11
Oilseeds,Mustard,187,WEST BENGAL,NADIA,RANAGHAT-II,15,11
Others,Others,Weather,WEST BENGAL,NADIA,NAKASHIPARA,15,11
Plantation Crops,Coffee,187,CHHATTISGARH,RAIGARH,BARAMKELA,15,11
Oilseeds,Mustard,187,GUJARAT,ANAND,SOJITRA,15,11
Millets,Maize (Makka),187,TELANGANA,KHAMMAM,WAZEED,15,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,KONIJERLA,14,11
Flowers,Tuberose,187,WEST BENGAL,NADIA,HANSKHALI,14,11
Flowers,Tuberose,187,WEST BENGAL,NADIA,HANSKHALI,14,11
Others,Others,Weather,GUJARAT,AHMADABAD,VIRAMGAM,14,11
Others,Others,Weather,RAJASTHAN,AJMER,KISHANGARH,14,11
Others,Others,Weather,RAJASTHAN,AJMER,KISHANGARH,14,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,KHAMMAM (RURAL),14,11
Others,Others,Weather,UTTAR PRADESH,MORADABAD,BILARI,14,11
Cereals,Wheat,187,UTTARAKHAND,HARIDWAR,ROORKEE,14,11
Sugar and Starch Crops,Sugarcane (Noble Cane),187,UTTARAKHAND,HARIDWAR,LAKSAR,13,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,KHAMMAM (URBAN),13,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,KHAMMAM (URBAN),13,11
Fruits,Guava,187,UTTAR PRADESH,MORADABAD,KUNDARKI,13,11
Others,Others,Weather,RAJASTHAN,AJMER,MASOODA,13,11
Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),187,CHHATTISGARH,MAHASAMUND,BAGBAHARA,13,11
Vegetables,Cabbage,187,WEST BENGAL,NADIA,CHAPRA,13,11
Condiments and Spices,Ginger,187,UTTARAKHAND,HARIDWAR,BHAGWANPUR,13,11
Others,Others,Weather,UTTAR PRADESH,MORADABAD,KUNDARKI,13,11
Others,Others,Weather,RAJASTHAN,AJMER,MASOODA,13,11
Others,Others,Weather,UTTAR PRADESH,MORADABAD,DILARI,12,11
Condiments and Spices,Cumin,187,RAJASTHAN,AJMER,BHINAY,12,11
Others,Others,Weather,RAJASTHAN,AJMER,BHINAY,12,11
Millets,Sorghum (Jowar/Great Millet),187,GUJARAT,AHMADABAD,DHANDHUKA,12,11
Cereals,Wheat,187,RAJASTHAN,AJMER,MASOODA,12,11
Others,Others,Weather,UTTAR PRADESH,MORADABAD,DILARI,12,11
Others,Others,Weather,GUJARAT,AHMADABAD,AHMADABAD CITY,12,11
Others,Others,Weather,UTTAR PRADESH,MORADABAD,DILARI,12,11
Avian,Turkey,187,UTTARAKHAND,HARIDWAR,LAKSAR,12,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,CHINTHAKANI,12,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,CHINTHAKANI,12,11
Cereals,Paddy (Dhan),187,TELANGANA,KHAMMAM,KHAMMAM (RURAL),12,11
Vegetables,Chillies,187,TELANGANA,KHAMMAM,CHINTHAKANI,12,11
Others,Others,Weather,UTTAR PRADESH,MORADABAD,BANIYAKHERA,11,11
Others,Others,Weather,UTTAR PRADESH,MORADABAD,DILARI,11,11
Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),187,GUJARAT,AHMADABAD,AHMADABAD CITY,11,11
Others,Others,Weather,RAJASTHAN,AJMER,MASOODA,11,11
Oilseeds,Sesame (Gingelly/Til)/Sesamum,187,GUJARAT,AHMADABAD,DETROJ RAMPURA,11,11
Others,Others,Weather,RAJASTHAN,AJMER,MASOODA,11,11
Others,Others,Weather,RAJASTHAN,AJMER,KISHANGARH,11,11
Oilseeds,"Castor (Rehri, Rendi, Arandi) ",187,GUJARAT,AHMADABAD,VIRAMGAM,11,11
Fruits,Melon,187,UTTAR PRADESH,MORADABAD,THAKURDWARA,11,11
Oilseeds,"Castor (Rehri, Rendi, Arandi) ",187,GUJARAT,AHMADABAD,VIRAMGAM,11,11
Others,Others,Weather,GUJARAT,AHMADABAD,DETROJ RAMPURA,11,11
Pulses,Pigeon pea (red gram/arhar/tur),187,TELANGANA,KHAMMAM,TEKULAPALLY,11,11
Condiments and Spices,Cumin,187,GUJARAT,AHMADABAD,DHANDHUKA,11,11
Others,Others,Weather,RAJASTHAN,AJMER,KEKRI,10,11
Others,Others,Weather,UTTAR PRADESH,MORADABAD,THAKURDWARA,10,11
Others,Others,Weather,WEST BENGAL,NADIA,KRISHNAGAR-I,10,11
Condiments and Spices,Cumin,Weather,RAJASTHAN,AJMER,KEKRI,10,11
Condiments and Spices,Coriander,187,RAJASTHAN,AJMER,KISHANGARH,10,11
Others,Others,Weather,RAJASTHAN,AJMER,KISHANGARH,10,11
Others,Others,Weather,UTTAR PRADESH,MORADABAD,DILARI,10,11
