Sector,Category,Crop,QueryType,StateName,DistrictName,BlockName,CreatedOn,Hour of the day,Month
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KOTA,ITAWA,2018-10-04 13:02:56.833,13,10
AGRICULTURE,Millets,Maize (Makka),Fertilizer Use and Availability,TELANGANA,MEDAK,KALHER,2018-02-08 13:17:53.327,13,2
AGRICULTURE,Millets,Maize (Makka),Weed Management,TELANGANA,KARIMNAGAR,THIMMAPUR (L.M.D.),2018-07-14 09:09:48.463,9,7
AGRICULTURE,Others,Others,Weather,RAJASTHAN,JALOR,JALORE,2018-04-11 15:56:58.157,15,4
AGRICULTURE,Others,Others,Weather,RAJASTHAN,JALOR,JALORE,2018-04-27 15:35:20.733,15,4
HORTICULTURE,Fruits,Guava,	Plant Protection	,RAJASTHAN,SAWAI MADHOPUR,BAMANWAS,2018-05-31 20:33:03.960,20,5
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,TELANGANA,MAHABOOBNAGAR,ADDAKAL,2018-08-25 14:05:27.377,14,8
AGRICULTURE,Others,Others,Weather,TELANGANA,NALGONDA,RAMANNAPETA,2018-06-08 06:51:09.967,6,6
AGRICULTURE,Others,Others,Weather,GUJARAT,Mehsana,KHERALU,2018-08-26 15:42:35.267,15,8
HORTICULTURE,Condiments and Spices,Cumin,	Plant Protection	,GUJARAT,SURENDRANAGAR,MULI,2018-01-25 13:03:54.040,13,1
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,LALITPUR,MEHRONI,2018-04-02 08:38:40.410,8,4
AGRICULTURE,Cereals,Wheat,Weather,UTTAR PRADESH,KUSHI NAGAR,DUDHAHI,2018-01-10 16:07:12.343,16,1
HORTICULTURE,Vegetables,Brinjal,	Plant Protection	,WEST BENGAL,NADIA,RANAGHAT-II,2018-06-30 09:10:45.887,9,6
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KOTA,KHAIRABAD,2018-12-01 17:41:38.443,17,12
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KARAULI,KARAULI,2018-07-21 11:35:29.930,11,7
AGRICULTURE,Others,Others,Weather,TELANGANA,ADILABAD,Echoda(ICHODA),2018-06-15 15:11:32.497,15,6
AGRICULTURE,Others,Others,Weather,RAJASTHAN,AJMER,KISHANGARH,2018-11-03 08:03:57.937,8,11
HORTICULTURE,Condiments and Spices,Cumin,	Plant Protection	,GUJARAT,SURENDRANAGAR,HALVAD,2018-01-09 09:12:39.560,9,1
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KARAULI,HINDAUN,2018-07-06 10:45:08.667,10,7
AGRICULTURE,Others,Others,Credit,TELANGANA,NALGONDA,SURYAPET,2018-12-16 20:01:36.137,20,12
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,LALITPUR,BIRDHA,2018-04-11 19:32:52.720,19,4
AGRICULTURE,Others,Others,Weather,CHHATTISGARH,RAIPUR,DHARSIWA,2018-12-15 21:34:44.597,21,12
AGRICULTURE,Others,Others,Cultural Practices,GUJARAT,JAMNAGAR,DHROL,2018-05-24 10:10:26.843,10,5
AGRICULTURE,Others,Others,	Field Preparation	,GUJARAT,AHMADABAD,BARVALA,2018-04-04 08:59:04.950,8,4
HORTICULTURE,Vegetables,Cauliflower,	Plant Protection	,CHHATTISGARH,SURGUJA,UDAIPUR,2018-01-01 11:35:30.360,11,1
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KOTA,KHAIRABAD,2018-12-31 10:56:44.810,10,12
HORTICULTURE,Vegetables,Cucumber,Cultural Practices,TELANGANA,MAHABOOBNAGAR,WADDEPALLE,2018-07-12 14:57:38.817,14,7
HORTICULTURE,Vegetables,Tomato,Cultural Practices,GUJARAT,Mehsana,KADI,2018-08-10 15:36:47.200,15,8
AGRICULTURE,Others,Others,Government Schemes,RAJASTHAN,SAWAI MADHOPUR,KHANDAR,2018-05-07 11:52:14.480,11,5
HORTICULTURE,Vegetables,Pointed Gourd,	Plant Protection	,UTTAR PRADESH,KAUSHAMBI,NEVADA,2018-12-22 08:58:54.480,8,12
AGRICULTURE,Others,Others,Weather,TELANGANA,KHAMMAM,BONAKAL,2018-02-11 10:20:07.300,10,2
AGRICULTURE,Millets,Maize (Makka),	Plant Protection	,TELANGANA,MEDAK,SIDDIPET,2018-07-28 14:40:23.450,14,7
AGRICULTURE,Others,Others,Government Schemes,CHHATTISGARH,MAHASAMUND,PITHORA,2018-03-01 18:10:28.863,18,3
AGRICULTURE,Others,Others,	Plant Protection	,CHHATTISGARH,MAHASAMUND,MAHASAMUND,2018-03-11 18:38:23.620,18,3
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KARAULI,KARAULI,2018-09-30 12:37:50.663,12,9
AGRICULTURE,Cereals,Wheat,Weather,UTTAR PRADESH,SHAHJAHANPUR,MADNAPUR,2018-02-28 15:23:43.510,15,2
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,BADAUN,SAMRER,2018-02-24 09:33:08.820,9,2
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KOTA,SANGOD,2018-03-27 18:29:27.303,18,3
AGRICULTURE,Others,Others,Weather,TELANGANA,ADILABAD,BHAINSA,2018-06-04 10:59:56.433,10,6
HORTICULTURE,Vegetables,Cabbage,	Plant Protection	,RAJASTHAN,KOTA,LADPURA,2018-01-02 10:09:20.057,10,1
AGRICULTURE,Cereals,Paddy (Dhan),Weather,WEST BENGAL,BIRBHUM,SAINTHIA,2018-03-22 09:50:50.570,9,3
AGRICULTURE,Others,Others,Weather,RAJASTHAN,JALOR,SANCHORE,2018-04-11 14:27:21.387,14,4
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,BADAUN,BISAULI,2018-02-06 14:31:33.890,14,2
AGRICULTURE,Others,Others,Weather,RAJASTHAN,JALOR,JALORE,2018-04-10 19:30:21.960,19,4
HORTICULTURE,Vegetables,Onion,Plant Protection,UTTAR PRADESH,KAUSHAMBI,SIRATHU,2018-08-05 07:56:38.013,7,8
AGRICULTURE,Others,Others,Weather,GUJARAT,Mehsana,MAHESANA,2018-12-15 10:10:04.917,10,12
AGRICULTURE,Others,Others,Weather,TELANGANA,ADILABAD,BHAINSA,2018-06-04 10:59:56.433,10,6
AGRICULTURE,Millets,Maize (Makka),Weather,RAJASTHAN,KOTA,LADPURA,2018-06-26 11:51:15.270,11,6
AGRICULTURE,Others,Others,Weather,TELANGANA,ADILABAD,Echoda(ICHODA),2018-09-13 17:27:08.940,17,9
AGRICULTURE,Others,Others,Weather,CHHATTISGARH,RAIPUR,DHARSIWA,2018-12-07 07:27:12.070,7,12
ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Dairy Production,UTTARAKHAND,NAINITAL,OKHALKANDA,2018-03-12 14:28:28.197,14,3
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,TELANGANA,KARIMNAGAR,SULTHANABAD,2018-02-27 17:25:21.197,17,2
HORTICULTURE,Condiments and Spices,Coriander,Weather,RAJASTHAN,KOTA,LADPURA,2018-03-14 09:54:27.340,9,3
AGRICULTURE,Others,Others,Weather,TELANGANA,ADILABAD,KUBEER,2018-09-20 13:26:59.327,13,9
HORTICULTURE,Vegetables,Potato,Field Preparation,CHHATTISGARH,RAIGARH,SARANGARH,2018-11-13 17:04:45.810,17,11
HORTICULTURE,Vegetables,Pumpkin,	Plant Protection	,WEST BENGAL,NADIA,HANSKHALI,2018-11-29 10:14:43.933,10,11
AGRICULTURE,Cereals,Wheat,Weather,UTTAR PRADESH,LALITPUR,BAR,2018-04-16 14:20:35.220,14,4
AGRICULTURE,Pulses,Lentil (Masur),	Plant Protection	,WEST BENGAL,MURSHIDABAD,RANINAGAR-I,2018-01-10 19:12:48.357,19,1
AGRICULTURE,Others,Others,Weather,RAJASTHAN,AJMER,KISHANGARH,2018-11-06 12:18:22.640,12,11
AGRICULTURE,Others,Others,Cultural Practices,GUJARAT,JAMNAGAR,JAMNAGAR,2018-05-27 20:30:51.237,20,5
AGRICULTURE,Others,Others,Market Information,RAJASTHAN,KOTA,SULTANPUR,2018-03-21 19:09:19.817,19,3
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,MURSHIDABAD,BHARATPUR-I,2018-01-08 20:32:00.993,20,1
AGRICULTURE,Others,Others,Weather,UTTARAKHAND,HARIDWAR,LAKSAR,2018-10-10 09:32:28.570,9,10
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KOTA,LADPURA,2018-01-26 11:41:11.803,11,1
AGRICULTURE,Others,Others,Weather,TELANGANA,MEDAK,JHARASANGAM,2018-05-07 14:23:34.063,14,5
AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),	Plant Protection	,TELANGANA,MAHABOOBNAGAR,NAGARKURNOOL,2018-12-19 16:39:35.187,16,12
AGRICULTURE,Others,Others,Market Information,GUJARAT,AHMADABAD,AHMADABAD CITY,2018-11-28 19:14:18.150,19,11
AGRICULTURE,Others,Others,Weather,RAJASTHAN,JALOR,JALORE,2018-04-02 15:48:17.853,15,4
HORTICULTURE,Vegetables,Broad Bean,	Plant Protection	,CHHATTISGARH,RAIGARH,BARAMKELA,2018-12-09 11:01:39.250,11,12
HORTICULTURE,Condiments and Spices,Cumin,	Plant Protection	,GUJARAT,SURENDRANAGAR,HALVAD,2018-01-07 12:09:36.473,12,1
AGRICULTURE,Cereals,Paddy (Dhan),Varieties,GUJARAT,KHEDA,MEHMEDABAD,2018-06-12 09:29:54.877,9,6
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KARAULI,HINDAUN,2018-07-16 09:19:10.497,9,7
AGRICULTURE,Cereals,Paddy (Dhan),Weather,WEST BENGAL,NADIA,CHAKDAH,2018-05-07 07:47:04.957,7,5
AGRICULTURE,Cereals,Paddy (Dhan),Market Information,TELANGANA,KARIMNAGAR,RAMAGUNDAM,2018-02-26 18:29:26.343,18,2
AGRICULTURE,Cereals,Paddy (Dhan),Varieties,UTTAR PRADESH,SIDDHARTH NAGAR,ITWA,2018-06-05 15:30:46.617,15,6
AGRICULTURE,Others,Others,Weather,TELANGANA,MEDAK,DUBBAK,2018-07-12 11:46:14.957,11,7
AGRICULTURE,Others,Others,Cultural Practices,CHHATTISGARH,KABEERDHAM,KAWARDHA,2018-05-31 11:54:55.603,11,5
HORTICULTURE,Fruits,Guava,	Plant Protection	,RAJASTHAN,SAWAI MADHOPUR,SAWAI MADHOPUR,2018-05-07 10:01:08.717,10,5
AGRICULTURE,Others,Others,Weather,GUJARAT,SURENDRANAGAR,HALVAD,2018-10-27 13:37:48.907,13,10
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,BADAUN,WAZIRGANJ,2018-02-02 10:12:22.150,10,2
HORTICULTURE,Vegetables,Potato,	Plant Protection	,WEST BENGAL,HOOGHLY,ARAMBAGH,2018-12-21 09:30:55.233,9,12
HORTICULTURE,Vegetables,Cluster Bean,Cultural Practices,GUJARAT,RAJKOT,DHORAJI,2018-03-22 09:30:18.470,9,3
AGRICULTURE,Fiber Crops,Cotton (Kapas),Fertilizer Use and Availability,TELANGANA,MAHABOOBNAGAR,MADDUR,2018-07-06 10:26:04.397,10,7
AGRICULTURE,Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),	Plant Protection	,RAJASTHAN,KOTA,LADPURA,2018-12-02 15:36:55.983,15,12
HORTICULTURE,Condiments and Spices,Garlic,	Plant Protection	,RAJASTHAN,KOTA,ITAWA,2018-12-24 08:40:10.460,8,12
HORTICULTURE,Vegetables,Bhindi(Okra/Ladysfinger),	Plant Protection	,WEST BENGAL,Cooch BIHAR,MATHA BHANGA-II,2018-10-17 13:11:11.420,13,10
HORTICULTURE,Fruits,Peach,Weather,UTTARAKHAND,NAINITAL,DHARI,2018-03-11 17:15:56.337,17,3
AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Nutrient Management,UTTAR PRADESH,BAGHPAT,BINAULI,2018-07-04 08:33:54.290,8,7
AGRICULTURE,Others,Others,Government Schemes,UTTARAKHAND,HARIDWAR,KHANPUR,2018-02-01 21:16:26.733,21,2
HORTICULTURE,Medicinal and Aromatic Plants,Mentha,Cultural Practices,UTTARAKHAND,NAINITAL,RAMNAGAR,2018-06-09 20:50:26.517,20,6
HORTICULTURE,Flowers,Anthurium,Nursery Management,WEST BENGAL,BIRBHUM,SAINTHIA,2018-09-04 17:22:07.930,17,9
AGRICULTURE,Others,Others,Varieties,RAJASTHAN,SAWAI MADHOPUR,BAMANWAS,2018-05-15 08:58:15.920,8,5
AGRICULTURE,Others,Others,Weather,RAJASTHAN,BUNDI,HINDOLI,2018-08-02 14:52:32.787,14,8
AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,TELANGANA,MEDAK,MANOOR,2018-07-17 13:53:43.113,13,7
HORTICULTURE,Vegetables,Pointed Gourd,	Plant Protection	,WEST BENGAL,MURSHIDABAD,RANINAGAR-I,2018-07-16 08:26:59.283,8,7
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,KUSHI NAGAR,KASAYA,2018-01-18 12:36:32.223,12,1
AGRICULTURE,Others,Others,	Plant Protection	,GUJARAT,BANAS KANTHA,DEODAR,2018-02-07 09:33:06.747,9,2
HORTICULTURE,Fruits,Mango,	Plant Protection	,UTTARAKHAND,NAINITAL,KOTABAG,2018-03-13 10:48:24.517,10,3
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,MAHARAHGANJ,PHARENDA,2018-05-30 21:52:29.510,21,5
AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),	Plant Protection	,UTTAR PRADESH,MAHARAHGANJ,BRIDGEMANGANJ,2018-05-31 09:30:14.637,9,5
AGRICULTURE,Others,Others,Weather,TELANGANA,MAHABOOBNAGAR,AMANGAL,2018-08-10 12:30:31.580,12,8
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KARAULI,NADAUTI,2018-09-06 11:38:44.010,11,9
AGRICULTURE,Cereals,Wheat,Nutrient Management,UTTAR PRADESH,MORADABAD,MORADABAD,2018-11-30 16:11:01.133,16,11
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,BADAUN,ISLAMNAGAR,2018-02-03 18:16:43.787,18,2
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,MAHARAHGANJ,MITHAURA,2018-05-30 20:38:48.997,20,5
AGRICULTURE,Others,Others,Government Schemes,UTTAR PRADESH,BAGHPAT,KHEKRA,2018-07-22 12:42:28.407,12,7
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,SIDDHARTH NAGAR,MITHWAL,2018-06-28 08:57:17.653,8,6
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KARAULI,NADAUTI,2018-07-09 09:41:36.453,9,7
AGRICULTURE,Others,Others,Weather,TELANGANA,ADILABAD,Echoda(ICHODA),2018-09-13 17:27:08.597,17,9
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,TELANGANA,MEDAK,SHANKARAMPET[A],2018-07-24 19:43:12.467,19,7
AGRICULTURE,Others,Others,Weather,TELANGANA,ADILABAD,TANUR,2018-06-17 15:18:58.157,15,6
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,BADAUN,SALARPUR,2018-02-10 18:24:37.753,18,2
HORTICULTURE,Vegetables,Brinjal,Weather,WEST BENGAL,MURSHIDABAD,BERHAMPORE,2018-01-08 09:16:40.510,9,1
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,MORADABAD,CHHAJLET,2018-11-24 09:28:09.250,9,11
AGRICULTURE,Cereals,Wheat,Weather,UTTAR PRADESH,SHAHJAHANPUR,BANDA,2018-02-05 20:00:51.247,20,2
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,SHAHJAHANPUR,TILHAR,2018-02-11 16:17:39.390,16,2
AGRICULTURE,Others,Others,Weather,TELANGANA,ADILABAD,BHAINSA,2018-09-14 15:38:05.433,15,9
AGRICULTURE,Others,Others,Weather,RAJASTHAN,BUNDI,KESHORAIPATAN,2018-08-08 11:14:32.540,11,8
AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,GUJARAT,Mehsana,KHERALU,2018-08-31 09:47:22.010,9,8
AGRICULTURE,Others,Others,Cultural Practices,GUJARAT,SURENDRANAGAR,DHRANGADHRA,2018-01-30 10:15:22.313,10,1
AGRICULTURE,Others,Others,Weather,RAJASTHAN,BUNDI,HINDOLI,2018-08-26 11:01:57.150,11,8
HORTICULTURE,Condiments and Spices,Cumin,Cultural Practices,GUJARAT,SURENDRANAGAR,DASADA,2018-01-08 08:28:50.510,8,1
AGRICULTURE,Others,Others,Cultural Practices,UTTAR PRADESH,BAGHPAT,PILANA,2018-07-30 14:28:29.587,14,7
HORTICULTURE,Vegetables,Chillies,	Plant Protection	,WEST BENGAL,NADIA,HANSKHALI,2018-05-16 19:58:40.470,19,5
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,BAGHPAT,BAGHPAT,2018-07-08 14:08:44.380,14,7
HORTICULTURE,Vegetables,Onion,	Plant Protection	,WEST BENGAL,MURSHIDABAD,BURWAN,2018-01-03 08:15:44.427,8,1
AGRICULTURE,Others,Others,Weather,RAJASTHAN,BUNDI,KESHORAIPATAN,2018-08-08 13:32:04.613,13,8
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KOTA,ITAWA,2018-03-08 12:11:37.090,12,3
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,HOOGHLY,GOGHAT-I,2018-10-07 14:47:52.433,14,10
AGRICULTURE,Others,Others,Government Schemes,TELANGANA,MAHABOOBNAGAR,AMANGAL,2018-08-22 15:01:43.813,15,8
AGRICULTURE,Others,Others,Weather,GUJARAT,AHMADABAD,AHMADABAD CITY,2018-11-17 12:23:06.177,12,11
AGRICULTURE,Oilseeds,Sesame (Gingelly/Til)/Sesamum,	Plant Protection	,WEST BENGAL,NADIA,KALIGANJ,2018-05-12 20:27:47.853,20,5
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,BADAUN,BISAULI,2018-02-23 18:44:42.690,18,2
AGRICULTURE,Others,Others,Weather,TELANGANA,MEDAK,KONDAPAK,2018-07-29 13:58:49.410,13,7
AGRICULTURE,Cereals,Wheat,Weather,UTTAR PRADESH,LALITPUR,JAKHAURA,2018-04-04 14:34:36.830,14,4
AGRICULTURE,Cereals,Wheat,Weather,UTTAR PRADESH,BADAUN,MION,2018-02-24 09:50:53.580,9,2
HORTICULTURE,Vegetables,Bottle Gourd ,	Plant Protection	,UTTARAKHAND,UDHAM SINGH NAGAR,SITARGANJ,2018-02-28 15:10:35.193,15,2
HORTICULTURE,Fruits,Pomegranate,	Plant Protection	,GUJARAT,BANAS KANTHA,DEODAR,2018-02-03 10:03:47.553,10,2
HORTICULTURE,Vegetables,Bitter Gourd,Nutrient Management,UTTAR PRADESH,MAHARAHGANJ,MAHRAJGANJ,2018-05-09 08:43:32.490,8,5
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,MAHARAHGANJ,MITHAURA,2018-05-07 07:34:04.563,7,5
AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Weather,GUJARAT,Mehsana,SATLASNA,2018-08-17 16:40:18.510,16,8
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KARAULI,NADAUTI,2018-07-29 15:58:27.050,15,7
AGRICULTURE,Others,Others,Weather,GUJARAT,SURENDRANAGAR,SAYLA,2018-10-07 08:23:27.750,8,10
AGRICULTURE,Others,Others,Weather,UTTARAKHAND,HARIDWAR,KHANPUR,2018-07-01 16:29:00.023,16,7
AGRICULTURE,Cereals,Oats ,Organic Farming,GUJARAT,KHEDA,KHEDA,2018-07-07 08:09:25.933,8,7
AGRICULTURE,Others,Others,Weather,TELANGANA,NALGONDA,CHINTHA PALLY,2018-06-10 10:27:18.000,10,6
AGRICULTURE,Others,Others,Weather,UTTARAKHAND,HARIDWAR,ROORKEE,2018-12-12 13:52:41.207,13,12
HORTICULTURE,Vegetables,Chillies,	Plant Protection	,TELANGANA,MAHABOOBNAGAR,ADDAKAL,2018-12-17 16:20:36.767,16,12
AGRICULTURE,Others,Others,Weather,TELANGANA,NALGONDA,BHUVANAGIRI,2018-06-17 13:35:17.147,13,6
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,SHAHJAHANPUR,BANDA,2018-02-12 17:03:24.800,17,2
AGRICULTURE,Cereals,Wheat,Nutrient Management,UTTARAKHAND,HARIDWAR,BAHADRABAD,2018-02-09 12:00:51.703,12,2
AGRICULTURE,Oilseeds,Sesame (Gingelly/Til)/Sesamum,Varieties,TELANGANA,NALGONDA,ANUMULA,2018-02-04 11:43:17.820,11,2
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,MORADABAD,DILARI,2018-11-05 17:16:08.153,17,11
HORTICULTURE,Vegetables,Chillies,	Plant Protection	,GUJARAT,ANAND,UMRETH,2018-12-29 10:40:03.707,10,12
AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,TELANGANA,MEDAK,MUNPALLE,2018-02-08 16:52:33.420,16,2
HORTICULTURE,Condiments and Spices,Cumin,	Plant Protection	,GUJARAT,BANAS KANTHA,DEODAR,2018-02-12 09:21:04.643,9,2
AGRICULTURE,Others,Others,Weed Management,CHHATTISGARH,RAIGARH,BARAMKELA,2018-07-13 10:49:00.993,10,7
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,LALITPUR,TALBEHAT,2018-04-02 13:48:33.183,13,4
AGRICULTURE,Cereals,Wheat,Fertilizer Use and Availability,GUJARAT,Mehsana,KADI,2018-12-13 20:31:13.633,20,12
AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),	Plant Protection	,RAJASTHAN,JALOR,JALORE,2018-04-07 20:15:41.533,20,4
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,UTTAR PRADESH,BAGHPAT,CHHAPRAULI,2018-07-17 13:13:29.927,13,7
AGRICULTURE,Others,Others,Weather,GUJARAT,Mehsana,VIJAPUR,2018-08-06 08:08:41.310,8,8
AGRICULTURE,Others,Others,Government Schemes,UTTAR PRADESH,SIDDHARTH NAGAR,BIRDPUR,2018-06-04 12:58:36.277,12,6
AGRICULTURE,Fiber Crops,Cotton (Kapas),Varieties,GUJARAT,JAMNAGAR,BHANVAD,2018-05-20 15:53:51.467,15,5
AGRICULTURE,Others,Others,Weather,RAJASTHAN,BUNDI,HINDOLI,2018-08-24 15:20:04.167,15,8
AGRICULTURE,Others,Others,Weather,TELANGANA,KARIMNAGAR,IBRAHIMPATNAM,2018-02-05 18:38:43.443,18,2
HORTICULTURE,Vegetables,Cauliflower,Fertilizer Use and Availability,UTTAR PRADESH,KUSHI NAGAR,RAMKOLA,2018-01-13 19:44:20.917,19,1
AGRICULTURE,Others,Others,Weather,TELANGANA,ADILABAD,TALAMADUGU,2018-09-21 12:06:58.327,12,9
HORTICULTURE,Drug and Narcotics,Tobacco,Cultural Practices,GUJARAT,Mehsana,MAHESANA,2018-12-17 16:55:48.123,16,12
HORTICULTURE,Vegetables,Brinjal,	Plant Protection	,TELANGANA,MAHABOOBNAGAR,PEDDAKOTHAPALLE,2018-07-23 16:15:17.137,16,7
HORTICULTURE,Plantation Crops,Coconut,Cultural Practices,GUJARAT,RAJKOT,MORVI,2018-03-20 13:34:59.213,13,3
AGRICULTURE,Others,Others,Weather,WEST BENGAL,NADIA,KRISHNAGAR-I,2018-11-27 11:53:55.263,11,11
AGRICULTURE,Others,Others,Weather,RAJASTHAN,KOTA,LADPURA,2018-03-11 12:18:34.757,12,3
AGRICULTURE,Others,Others,Weather,TELANGANA,KARIMNAGAR,IBRAHIMPATNAM,2018-04-12 16:10:02.397,16,4
AGRICULTURE,Cereals,Wheat,Weather,UTTARAKHAND,HARIDWAR,NARSAN,2018-02-23 21:09:43.310,21,2
AGRICULTURE,Others,Others,Weather,TELANGANA,KARIMNAGAR,HUSNABAD,2018-07-24 12:33:00.433,12,7
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,SHAHJAHANPUR,DADROL,2018-02-24 18:04:50.010,18,2
AGRICULTURE,Others,Others,Weather,TELANGANA,KARIMNAGAR,MANTHANI,2018-07-11 08:44:20.150,8,7
HORTICULTURE,Fruits,Mango,	Plant Protection	,GUJARAT,ANAND,PETLAD,2018-11-30 10:00:01.327,10,11
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,SHAHJAHANPUR,NIGOHI,2018-02-25 07:32:32.303,7,2
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,KAUSHAMBI,KAUSHAMBI,2018-08-07 07:44:07.723,7,8
AGRICULTURE,Others,Others,Weather,GUJARAT,KHEDA,MEHMEDABAD,2018-06-29 20:34:31.303,20,6
AGRICULTURE,Oilseeds,Mustard,	Plant Protection	,RAJASTHAN,KOTA,LADPURA,2018-12-24 10:03:26.120,10,12
AGRICULTURE,Cereals,Wheat,Weather,UTTAR PRADESH,BADAUN,ASAFPUR,2018-02-23 19:34:43.270,19,2
AGRICULTURE,Others,Others,Crop Insurance,CHHATTISGARH,DURG,PATAN,2018-05-28 08:28:51.110,8,5
AGRICULTURE,Cereals,Paddy (Dhan),Sowing Time and Weather,GUJARAT,ANAND,KHAMBHAT,2018-12-25 13:00:32.683,13,12
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,TELANGANA,NALGONDA,KANAGAL,2018-02-23 13:05:42.800,13,2
AGRICULTURE,Others,Others,Agriculture Mechanization,UTTAR PRADESH,SHAHJAHANPUR,KALAN,2018-02-27 08:45:04.480,8,2
AGRICULTURE,Others,Others,Weather,TELANGANA,MAHABOOBNAGAR,DHANWADA,2018-10-12 16:19:46.193,16,10
AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,TELANGANA,WARANGAL,DHARMASAGAR,2018-05-19 10:06:41.420,10,5
AGRICULTURE,Others,Others,Weather,UTTAR PRADESH,BADAUN,AMBIAPUR,2018-02-08 06:14:04.717,6,2
AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,WEST BENGAL,BIRBHUM,SURI-I,2018-09-06 10:45:41.770,10,9
HORTICULTURE,Vegetables,Cucumber,Plant Protection,UTTAR PRADESH,KAUSHAMBI,SIRATHU,2018-08-18 13:25:48.000,13,8
AGRICULTURE,Others,Others,Weather,GUJARAT,SURENDRANAGAR,SAYLA,2018-01-12 12:20:01.073,12,1
AGRICULTURE,Cereals,Wheat,Crop Insurance,UTTARAKHAND,UDHAM SINGH NAGAR,KHATIMA,2018-02-03 22:06:22.553,22,2
AGRICULTURE,Cereals,Paddy (Dhan),Weather,UTTAR PRADESH,KAUSHAMBI,SIRATHU,2018-08-28 17:10:48.503,17,8
HORTICULTURE,Medicinal and Aromatic Plants,Safed Musli,Training and Exposure Visits,CHHATTISGARH,RAIGARH,LAILUNGA,2018-12-02 19:15:40.960,19,12
HORTICULTURE,Vegetables,Cowpea (Vegetable),Cultural Practices,TELANGANA,MAHABOOBNAGAR,NAGARKURNOOL,2018-05-10 15:00:09.703,15,5
AGRICULTURE,Others,Others,Weather,UTTARAKHAND,HARIDWAR,ROORKEE,2018-02-03 21:52:46.213,21,2
HORTICULTURE,Condiments and Spices,Turmeric,Fertilizer Use and Availability,TELANGANA,MEDAK,ZAHIRABAD,2018-07-26 17:45:30.300,17,7
AGRICULTURE,Others,Others,	Plant Protection	,CHHATTISGARH,SURGUJA,BALRAMPUR,2018-01-03 16:03:10.783,16,1
HORTICULTURE,Fruits,Mosambi,	Plant Protection	,TELANGANA,NALGONDA,NIDAMANOOR,2018-12-12 19:38:03.030,19,12
AGRICULTURE,Cereals,Barley (Jau),Seeds,GUJARAT,ANAND,PETLAD,2018-11-30 18:52:32.507,18,11
